"id","name","category","description","lactose"
3600425,"Vegetable Chowmein [Vegan]","Maya Cuisine-Special","Noodles cook with mixed vegetable in soy sauce and spices.",NULL
4027332,"Merrick Grain Free Real Texas Beef and Sweet Potato Dry Dog Food 4lb","Pets","Looking at the chart below, divide the total cups per day by the total number oftimes you feed your dog per day to determine the portion size for each meal.Keep a clean bowl of fresh water available at all times. Every dog is a littledifferent, so optimal feeding amounts may vary with age, size and activitylevel. Please use the information below as an initial recommendation only andadjust when needed. Dry and wet food in combination will help to increase thelevel of water in your dog's diet.",NULL
3638476,"7-Select Floss Picks 36 Count","Personal Care","Use these convenient Floss Picks while on the go.",NULL
5613307,"Equal Packet","Condiments","Limit of 3",NULL
3079160,"Salted Caramel Pizookie®","Picked for you","Warm caramel cookie with sweet almond toffee | crunchy pretzel bites | white + Ghirardelli ® dark chocolate chips | rich vanilla bean ice cream | caramel sauce  ",NULL
5437734,"Three Meat Plate","Picked for you","3 Meats(16oz), 2 Sides(4oz ea), and bread...specify beef brisket cut Lean or Marble (moist)",NULL
1423085,"Roasted Brussel Sprouts","Appetizers","Garden-fresh roasted brussel sprouts topped with roasted red peppers and finished with a drizzle of balsamic glaze.",NULL
4891588,"Vip Roll","Signature Sushi Rolls","Shrimp tempura and asparagus inside. Topped with snow crab. Crawfish, onion and tempura flakes.",NULL
4089441,"Kung Pao Beef","À La Carte Dinners - Beef","Spicy. A mixture of diced celery, carrot, water chestnut, and zucchini, and fresh mushrooms, stir-fried with peanuts.",NULL
5297564,"3 Tender Combo","Combos","small fries, tots, mac &amp; cheese or coleslaw &amp; a big yellow cup",NULL
3431175,"Jr. Chicken &amp; Waffles","Kids Menu (12 &amp; Under)","Two buttermilk crispy chicken breast strips, made with all-natural chicken &amp; 2 house-made Belgian waffle quarters.",NULL
4807540,"Escondida Chicken Fajitas for 2","Fajitas A la Escondida","Topped with pico de gallo and smothered in cheese. Served with guacamole, pico de gallo, our cream, cheese, chipotle potatoes, charro beans, and tortillas.",NULL
4343347,"Chicken with Garlic Sauce","Poultry","With water chestnuts and tree mushrooms.",NULL
1381593,"""The Logan""®*","Picked for you","Our signature USDA Choice 12 oz. Sirloin.",NULL
1748442,"B.L.T. 6 Inch Regular Sub","Sandwiches","The sub that proves great things come in threes. In this case, those three things happen to be hickory smoked bacon, lettuce and juicy tomatoes. While there’s no scientific way of proving it, this B.L.T might be the most perfect sub in existence.",NULL
2644423,"32 GB ULTRA MICRO SD CARD","FILM/PHOTO","32 GB Ultra Micro SD Card",NULL
3027678,"Two Eggs Homefries and Toast ","Breakfast Mains","2 eggs Any style with homefries and Toast",NULL
3666489,"Mashed Potatoes","Family Meal Baskets","Creamy Mashed Potatoes with a hint of margarine, Black Pepper and salt. Packed hot and ready to serve",NULL
4388307,"French fries","FREAKING GOOD SIDES","Freaking good french fries.",NULL
2480628,"7-Select Anti Diarrheal Lopermide 12 Count","Personal Care","Upset Stomach Relief",NULL
4713997,"Claritin 24 Hour Allergy Relief Tablets - 30.0 ea","Allergy Season","Claritin√Ç¬Æ tablets provide powerful, 24 hour, non-drowsy relief of your worst indoor and outdoor allergy symptoms, including sneezing, runny nose, itchy/watery eyes, itchy throat/nose. Claritin√Ç¬Æ provides relief of symptoms that can be triggered by over 200 different allergens. Claritin√Ç¬Æ is an antihistamine, so it hinders the cascade triggered by allergens. For adults and children ages 6+. One tablet contains 10mg of loratadine. Powerful, 24-hour, non-drowsy indoor and outdoor allergy relief #1",NULL
3571723,"Huggies Little Swimmers Swim Diapers - 1.0 set","Baby & Kids","1. Swim pants designed for swimming with unique absorbent material that won't swell in water like regular diapers 2. Double Leak Guards fit snugly around baby's legs to help contain messes 3. Swim diapers that fit like swimwear with easy open, reclosable sides for an adjustable waistband & quick changes 4. Features two Disney, Pixar Finding Nemo designs your child will love in each pack 5. Disposable swim diapers are fragrance free, lotion free, paraben free, and free of elemental chlorine &",NULL
2683248,"Strawberry Value Pack Paddle 12 ct","Snacks","Our delicious and refreshing strawberry bars are made with real strawberries and are an excellent source of vitamin c per 1 bar. They're the perfect refreshing snack for hot summer days and all year long.",NULL
1522347,"Butter Chicken","Chicken","Chicken thigh, tomato sauce, and cream. Consuming raw or undercooked meat, poultry, eggs, or seafood may increase the risk of food-borne illnesses.",NULL
2423748,"Armor All Original Protectant 10oz","Household","Cleans away dirt, dust and debris. Helps prevent cracking, fading, discoloration and premature aging. Enhances your vehicle’s deep, rich look and adds beautiful shine. Helps renew and revitalize vinyl, rubber and plastic.",NULL
3468419,"BLIMEY LIMEY ™","FRUIT BLEND SMOOTHIES","strawberries, pineapple, orange juice &amp; lime ",NULL
2694702,"Metamucil Psyllium Husk Fiber Supplement, 3-in-1 - 300.0 ea","Medicines & Treatments","Digestive system making you feel sluggish? Start by taking Metamucil Multi-Health Fiber Capsules every day to trap & remove the waste that weighs you down, so you feel lighter and more energetic**. Metamucil is the only leading brand made with Psyllium Fiber^, a plant-based fiber that helps promote digestive health.* It also helps maintain healthy blood sugar levels* and lower cholesterol. Try our Multi-Health Capsules today for easy dosing, at home or on-the-go. *THESE STATEMENTS HAVE NOT BEEN",NULL
2567071,"Ultimate Breakfast Sandwich Combo","Breakfast Combos","Includes hash browns and your choice of a large drink.",NULL
3418247,"Classic Chicken Sandwich","Chicken, Nuggets &amp; More","A juicy, lightly breaded crispy chicken breast with crunchy lettuce, tomato, mayo, and the perfect pickles, all on a toasted bun. It’s a flawless blend of nostalgia and excitement—kinda like your all-time favorite song, only better ‘cause you can eat it.  ",NULL
1561762,"Ice Cream Float","Frozen Beverages","Your choice of soda/soft drink poured over your favorite ice cream",NULL
5113361,"Bacon Cheddar Burger","Burgers and Sandwiches","Our half pound beef patty, topped with melted cheddar cheese and crispy fried bacon, served with mayo, lettuce, tomato, and pickles. Served with curly fries or choice of side.",NULL
3211131,"Caramel Ribbon Crunch Crème Frappuccino® Blended Beverage","Frappuccino® Blended Beverages","Buttery caramel syrup is blended with milk and ice, then topped with a layer of dark caramel sauce, whipped cream, caramel drizzle and a crunchy caramel-sugar topping—oh-so-beautifully delicious.",NULL
3223242,"Luv Potion No. 418","Boba Drinks","A smoothie with banana, strawberry, blueberry, and your choice of milk.",NULL
3145860,"Beef With Broccoli","Beef","Served with white rice. Slices of beef with fresh broccoli, lightly stir-fried.",NULL
5193599,"Lamb Curry","Curry","Mild yellow curry with lamb, coconut milk, carrot, potato and onion. Served with Jasmine rice.",NULL
1343805,"Delta Children® Baby Shark Toddler Bed in Blue","Furniture","Surround your little one with their favorite underwater friends in the Delta Children Baby Shark Toddler Bed. With adorable colorful decals of Carnivore Cove, this sturdy bed features side guardrails so your child can safely drift off to sleep.",NULL
3274640,"Cheese Burger","Kids Menu","Single beef patty with cheddar cheese on a brioche bun served with a side of fries.",NULL
2453781,"Tea &amp; Scones","Sides","Personal pot of tea and 2 scones",NULL
5309586,"Build Your Own Pizza - Shareable","Signature Deep Dish","Start with a cheese and tomato base. Choose from a variety of meats and vegetables.",NULL
4149588,"CH Bad Boy M 3.4 Oz Edt","Fragancias 🤩","MEN, EDT",NULL
4111796,"Bondi Sands Self Tanning Application Mitt - 1.0 ea","Fun in the Sun","Bondi Sands. The Australian Tan. Reusable Self-Tan Application Mitt. The Bondi Sands Self Tanning Mitt enables you to apply an even streak-free, flawless tan every time. And what's better is that you'll never have stained hands again. Washable and reusable. Perfect for use with all Bondi Sands products. After use rinse mitt with warm water. Hands will remain perfectly clean. Made in China",NULL
5427650,"Pancakes, Eggs Breakfast ","Picked for you","2 eggs, Served with ham or bacon,  NO beans, you get 2 pancakes, ",NULL
3395988,"Carne Asada Breakfast Burrito","Pick Me Ups","Two eggs, sausage, peppers, onions, sour cream and pepper jack cheese served with a side of salsa.",NULL
4103505,"Picositos","Botanas","Grilled jalapenos stuffed with shrimp, cream cheese and wrapped with bacon. Served with cilantro ranch dressing.",NULL
3215588,"Caramel Ribbon Crunch Crème Frappuccino® Blended Beverage","Frappuccino® Blended Beverages","Buttery caramel syrup is blended with milk and ice, then topped with a layer of dark caramel sauce, whipped cream, caramel drizzle and a crunchy caramel-sugar topping—oh-so-beautifully delicious.",NULL
2831540,"Veal Parmesan","Signature","Lightly breaded veal with tomato sauce and mozzarella. Served with spaghetti. Includes salad and garlic bread.",NULL
3413107,"Agave Lemonade","Beverages","Regular (180 Cal.), Large (260 Cal.) Crisp lemonade made with lemon juice, sugar, agave nectar and water. Please note, this beverage is self-serve when ordering In-Cafe Pick-Up or Dine-In. Allergens: none",NULL
3869514,"Rainbow Roll","House Specialty Rolls","Crab and cucumber inside with tuna, salmon, avocado and striped bass on top; Eight large pieces.",NULL
5550840,"Carmex Medicated Lip Balm Stick, Lip Moisturizer for Dry, Chapped Lips Original - 0.15 oz","Personal Care","Help soothe and protect dry, chapped lips with Carmex Medicated Lip Balm Stick. Camphor and menthol give this moisturizing lip balm a cooling, soothing feel, and cocoa butter helps soften lips. A multi-purpose lip balm, Carmex lip balm with SPF 15 helps defend your lips in all types of weather. Packaged in a lip balm stick, this lip moisturizer slips easily into your pocket or purse for on-the-go lip care. Simply apply this Carmex lip balm liberally to your lips 15 minutes before sun exposure.",NULL
3591668,"Sani-Key™","Gear & Travel","Keep the Sani-Key on your key ring so you always have it with you when running errands. The copper-coated alloy key can be used to push buttons on touch screens, elevators, ATMs, flush toilet handles and even open doors.",NULL
2909445,"IT'S BACK! STARFRUIT SMOOTHIE","FRUIT BLEND SMOOTHIES","starfruit, mango, strawberries &amp; lime",NULL
3509703," Sunrise Batch Iced Coffee","Iced Drinks","A full-bodied and smooth medium roast with notes of cocoa and toasted nuts. Sourced from Kenya and Latin America.",NULL
3103234,"CHICKEN PESTO ","FLATBREADS","grilled chicken, tomatoes, shredded parmesan, mozzarella &amp; pesto",NULL
3921417,"Side Caesar Salad","Salads, Soups &amp; Chili","Romaine, Parmesan, croutons &amp; Caesar dressing.",NULL
4642435,"Chorizo Egg Cheese Taco","Mains","chorizo, egg, provolone, cheddar, corn tortilla",NULL
3755142,"TURKEY BLT WRAP","SANDWICHES","Oven roasted turkey, bacon, lettuce, tomato, and mayo wrapped in a sundried tomato tortilla.",NULL
4351719,"BBQ Chicken &amp; Jalapeno Pizza","Pizzas &amp; Flats","chicken | 2 cheeses | BBQ sauce | onion | pickled jalapeños",NULL
1460362,"Manhattan Club Turkey","Lunch Sandwichs","Slices Turkey Breast, tomatoes, lettuces, turkey bacon, Mayonnaises Whole Grain Wheat. ",NULL
2828189,"Shmiscuit","Breakfast","Shmiscuit",NULL
4439068,"Migas","Breakfast Plates","Scrambled eggs with lightly fried tortilla chips. Served with homemade potatoes, beans, and toast. Try Mexican style with onions, tomatoes, and jalapenos.",NULL
3556849,"Sub 6 Inch Value Turkey Ham Cheese","Fresh Food","This 6-inch sub has smoked turkey, ham, and American cheese at a great value.",NULL
5485285,"Pollo Guisado Plate","Ruchi's Plates","Stewed chicken. Served with rice, beans, and salad.",NULL
1645824,"Fisherman's Platter","Fresh From The Wharf","A treasure of stuffed shrimp, juicy scallops, lake perch, and delicious frog legs served broiled or deep-fried.",NULL
5663676,"Eggplant Parmesan","Specialties","Vegetarian. Rich layers of eggplant, fresh marinara, mozzarella and Parmesan cheese served with a side of linguini, tossed with olive oil, garlic, red pepper flakes and basil.",NULL
5705222,"WD-40 Multi-Use Product Stops Squeaks, Cleans, Protects & Loosens, 8 OZ","Home Health Care","Stops squeaks, cleans and protects, loosens rusted parts, frees sticky mechanisms, drives out moisture. Used on the job, at home, on the farm, and in recreation. Lubricates moving parts such as hinges, wheels, rollers, chains, gears. Cleans most surfaces of grease, grime, tar, adhesives, gum, tape, crayon, scuff marks, water deposits. Protects against rust and corrosion, items like tools, firearms, sporting equipment. Penetrates to free stuck parts, like nuts, bolts, valves, locks. Displaces moisture to restore wet or flooded equipment, such as engines, spark plugs, power tools.",NULL
3419610,"Chocolate Chipper Cookie 4-Pack","Breakfast","390 Cal. A traditional favorite, freshly baked and made with semi-sweet chocolate chunks &amp; milk chocolate flakes. Allergens: Contains Wheat, Soy, Milk, Egg",NULL
4522638,"Gallon Frozen Margarita","Margaritas","Gallon of our Original, World FamousBlue Goose frozen margarita",NULL
3494327,"Sirloin Steak Tips","Entrées","A hearty portion of tender sirloin steak tips* sautéed with grilled onions &amp; mushrooms.",NULL
3083924,"Blueberry Pancake","Fan Favorites","Blueberry icing with maple drizzle &amp; powdered sugar",NULL
4966220,"Steak &amp; Cheese","Wraps","Our Steak &amp; Cheese wrap is a double portion of shaved steak, wrapped up with melty American cheese in a spinach wrap. Get crazy with veggies and sauces to make it what you want.",NULL
3981483,"Squared Away™ Velvet Slim Suit Hangers in Black with Matte Black Hook (Set of 12)","Storage & Cleaning","Why we love this...Sleek, space-saving design with slip-free velvet coveringHandy accessory bar",NULL
1359286,"Oreo Double Stuf Chocolate Sandwich Cookies, 20 OZ","Memorial Day","OREO Double Stuf Chocolate Sandwich Cookies have been America's favorite cookie for over 100 years. Stuffed with twice the OREO creme, these chocolate sandwich cookies are supremely dunkable. Double Stuf OREO cookies are great sweet snacks for sharing or enjoying with cold milk. The resealable package with easy-pull tab keeps chocolate cookies fresh and is perfect for snacking or traveling.",NULL
2622277,"Chocolate Cookie Crumble Crème Frappuccino®","Frappuccino® Blended Beverages","Mocha sauce and Frappuccino® chips are blended with milk and ice, layered on top of whipped cream and chocolate cookie crumble and topped with vanilla whipped cream, mocha drizzle and even more chocolate cookie crumble. These layers ensure each sip is as good as the last; all the way to the end.",NULL
5676741,"Daily Warrior® ","Be Well","Bananas, Wild Blueberries, Peanut Butter, Dates,  Organic Spinach, Almonds, Apple Blueberry Juice Blend, Stevia Plant-Based Sweetener.680 - 1360 Calories Allergens:  Peanut Butter (peanuts), Almonds (tree nuts)",NULL
2489963,"Family Dinner for Five ","Family Dinners","BBQ pork and spring roll, Mongolian beef, stir-fried almond chicken, sweet and sour pork, mu-shu pork with five pancakes. Choice of soup.",NULL
3985946,"Spicy Italian","Wraps","Feeling spicy? Grab a Spicy Italian wrap. It's a double portion of spicy pepperoni and Genoa salami on a tomato basil wrap. Topped with lettuce, tomatoes, cucumbers, green peppers and red onions…it's a pretty delicious meal.",NULL
3676689,"HP INK CARTRIDGE BLK 65","SCHOOL/STATIONARY","HP 65 Black Ink Cartridge",NULL
2248096,"Denver Omelet","Breakfast Available till 1:00PM","Served with hasbrowns and choice of toast",NULL
5361141,"Chipotle Ranch Grilled Chicken Burrito","New Cravings Value Menu","Grilled chicken, fiesta strips, avocado ranch sauce, creamy chipotle sauce, lettuce, tomatoes, and real shredded cheddar cheese wrapped inside a warm flour tortilla.",NULL
2213211,"Angus Steak Bites with Mushrooms","Small Plates","Seared steak, garlic, and jager or teriyaki cream sauce.",NULL
2160474,"Horizon® Chocolate Organic Milk","Cold Drinks","Great for snacks, travel and more, this chocolate organic milk box is a convenient way to experience your milk on the go and everywhere.",NULL
1978041,"Pesto Salciccia Signature Series Pizza","Signature Series Pizza","Pesto sauce, garlic, sausage, artichoke hearts, parmesan, and feta cheese.",NULL
1961182,"Murphy's Combo - Baking Required","Signature Pizzas","Our Original Crust topped with Traditional Red Sauce, Whole-Milk Mozzarella, Salami, Premium Pepperoni, Italian Sausage, Sliced Mushrooms, Mixed Onions and Black Olives, and CheddarCurrently, some of our Papa Murphy’s stores are experiencing periodic outages of Salami. We apologize for any inconvenience.",NULL
3005621,"Chocolate Cigar Danish","Bakery","Our bakery contain milk, eggs, wheat, soybeans, and have come in contact with peanuts, tree nuts, fish, and shellfish.",NULL
5032748,"Fried Squash","Appetizers and Sides","Hand cut squash tossed in our house made beer batter and deep fried.",NULL
4604948,"Fee Brothers Whiskey Barrel-Aged Bitters (5 oz)","Picked for you","Freshly emptied oak whiskey barrels from America's best distillers, interiors charred and soaked with aged whiskey, are used by the fee brothers to age aromatic bitters. Savor the result of the mingling of these great flavors.",NULL
5203738,"Sprite®","Beverages - All Day","20 oz bottled Sprite ",NULL
5659498,"2 Pre-Packed Quart Bundle","Ice Cream to Share","Save on your favorite pre-packed ice cream flavors with our 2 Pre-Packed Quart Bundle! More ice cream, more savings, more smiles. What’s not to love?  Discount Available at Participating Locations",NULL
4835001,"Walgreens CoQ10 200 mg - 90.0 ea","Vitamins & Supplements","Dietary Supplement. Heart health.* May promote cardiovascular health.* No artificial dyes or flavors. No sugar. No gluten. No lactose. Coenzyme Q-10 (Ubidecarenone) is a carrier found in all cells that assists in the process of generating energy from food. It may also function as an antioxidant by protecting cell membranes from free radical damage.* Auto-Reorder & Save: Free shipping + 20%25 off regular price. Learn more at Walgreens.com/AutoReorder. walgreens.com. Questions or comments?",NULL
2301548,"SC-14. Teriyaki Chicken and Broccoli Beef","Special Combo","Comes with steamed rice.",NULL
1681079,"Trojan Studded Bareskin Lubricated Condoms - 10.0 ea","Sexual Wellness","America's no. 1 condom. Our thinnest textured condom! Triple Tested: Trusted for over 100 years. For contraception. Silky smooth lubricant to increase comfort & sensitivity. Comfort shape roomy design for additional comfort. Elevated studs for maximum stimulation. Our thinnest textured condom for ultimate sensitivity. Trojan Studded Bareskin condoms are thin for ultimate sensitivity with studs for maximum stimulation. Experience the best of both worlds. Made from Premium Quality Latex to help",NULL
2657788,"GNC MGM MULTI GUMMY 120CT","GNC","For energy & metabolism support. Supports immune health. Gluten free.",NULL
5202903,"Ham &amp; Swiss","SANDWICHES","Ham, lettuce, tomatoes, Swiss, mayo, Creole mustard on Parisian bread.",NULL
3731470,"Ben & Jerry’s Chocolate Fudge Brownie Pint","Ice Cream","Fabulously fudgy brownies mixed in with smooth chocolate ice cream make this the definition of chocolate heaven.",NULL
1775387,"Casey's Zesty Jalapeno Seasoned Pretzels 5oz","Snacks","Snack time will never be the same! Our new Zesty Jalapeno Seasoned Pretzels are made with Lola's hot sauce and a hint of lime for a flavor filled experience you won't be able to get enough of. Add them to your order today!",NULL
3334980,"Gallon Beverages","Beverages","Gallon beverage filled with your choice of tea or lemonade",NULL
5037685,"JACK DANIELS BLACK  750ml","Whiskey","750",NULL
4158374,"Papas Grandes","Complementos","Porción grande de papas.",NULL
4730571,"Spicy Chicken Ramen","Ramen","Creamy chicken broth, grilled chicken, ajitama, kikurage, scallions, menma, and nori.",NULL
4048546,"Honey Nut Cheerios 10.8oz","Grocery","Are you a lord of the rings? Then start off your morning with this classic breakfast of honey oat rings and happiness.",NULL
2079050,"Dragon","Tomato Base","Pepperoni, Double Italian Sausage, Fresh Jalapeño, Fresh Garlic",NULL
5524668,"New Amsterdam Peach Flavored, 50mL vodka (35.0% ABV)","Vodka","New Amsterdam Vodka is 5 times distilled and 3 times filtered to deliver a clean crisp taste. New Amsterdam flavors are crafted using our award-winning original 80-proof vodka. This peach flavor is succulent and rounded out with orange and a touch of vanilla to create a complex and pleasant fruit profile.",NULL
1322750,"Beast Style Fries ","Sides","Loaded with caramelized onions, American cheese, pickles, mayo, ketchup and mustard",NULL
5512768,"Supa Seafood","Mains","Shredded cheese, shrimp, crawfish, and lobster tail topped with cajun seafood sauce.",NULL
4442667,"Pineapple Fried Rice","Rice Dishes","Stir fried with egg, cashew, scallion, and pineapple chunks.",NULL
1843789,"Steak &amp; Cheese Footlong Regular Sub","Sandwiches","Our Steak &amp; Cheese sandwich is where warm, delicious steak gets topped with melty cheesiness. Get crazy with veggies and sauces to make it what you want.",NULL
1636277,"Blue Raspberry Freeze","Drinks","A sweet, juicy blue raspberry-flavored Freeze.",NULL
4955455,"Cherry Turnover","Drinks &amp; Desserts","If you're the type of person who craves fruity sweets, you'll love our Cherry Turnover. It's a freshly baked pastry stuffed with sweet cherry filling.",NULL
4217433,"Soft Corn Tortilla","Extras","Soft Corn Tortilla",NULL
2696939,"Baja Steak &amp; Jack","Wraps","This is a wrap with serious southwestern flavor: Steak, Pepper Jack Cheese, green peppers, red onions, and Baja Chipotle Sauce, rolled up in a hearty Tomato Basil Wrap.",NULL
4356849,"House Salad","Salads","Arugula, onion, tomato, radish, shallot vinaigrette and feta cheese.",NULL
1946064,"Taco Salad","Salads","A crispy flour tortilla filled with ground beef or chicken, beans, tomatoes, lettuce, grated cheese, and sour cream.",NULL
3677707,"Szechuan Scallop (Large)","Chef's Specialties","With white rice.",NULL
5321989,"Southern Fried Chicken","Sandwiches","Fried chicken breast topped with bacon, cheese, greens, tomato, onion, pickles, and sriracha ranch.",NULL
3759304,"Iced Caffe Latte","Beverages","160 Cal. Freshly brewed espresso and milk served over ice. Allergens: Contains Milk",NULL
4506107,"M &amp; K Vegeterian Large","M&amp; K Vegeterian","Hummus,Baba ghanoush,6 PCs Falafel,4 PCs Grape Leaves.Tabbuli salad,Peta Bread &amp; Tahini, Taziki Sauce.",NULL
2478986,"Equal Packet","Condiments","Limit of 3",NULL
1942520,"Caramel Macchiato (16 oz)","Blenjava","Caramel, vanilla, and espresso mixed in the wonderful tasty shake. A blenjava is a 16-ounce premium frozen coffee drink infused with ice cream and yogurt flavors you know and love.",NULL
3681776,"Maola Whole Milk Half Gallon","Grocery","Maola’s Whole Milk is the classic we all know and love. You can't beat the creamy taste and the nine essential nutrients it provides!",NULL
1418801,"Fajita Wrap","Wraps","Choice of chicken or steak lightly seasoned, onions, peppers, and mozzarella cheese.",NULL
3450095,"Impossible™ Breakfast Sandwich","Hot Breakfast","The savory Impossible™ Sausage Made from Plants combined with a cage-free fried egg and aged Cheddar cheese on an artisan sesame ciabatta bun. - VEGETARIAN - HIGH-PROTEIN",NULL
3776983,"7-Select Floss Picks 36 Count","Personal Care","Use these convenient Floss Picks while on the go.",NULL
3343905,"Reese's Mini Dessert","Desserts","330 cal",NULL
